bus,gen_p_nom,gen_mc,load_p_set
WECC_NW,5000,40,5000
WECC_SW,5000,45,5000
SPP_MISO,5000,50,5000
PJM_NE,5000,60,5000
SERC_SE,6000,55,5000
ERCOT,5000,50,5000
,,,
# Previous Values,,,
20 Aug 2026,,,
bus,gen_p_nom,gen_mc,load_p_set
WECC_NW,5000,40,5000
WECC_SW,5000,45,5000
SPP_MISO,5000,50,5000
PJM_NE,5000,60,5000
SERC_SE,6000,60,5000
ERCOT,5000,50,5000
,,,
Before 05 Aug 2026,,,
bus,gen_p_nom,gen_mc,load_p_set
WECC_NW,8000,40,5000
WECC_SW,8000,45,5000
SPP_MISO,8000,50,5000
PJM_NE,8000,60,5000
SERC_SE,8000,55,5000
ERCOT,8000,50,5000
