Branch,Name,FrEnode,ToEnode,Circuit,Voltage,Resistance,Reactance,NormalLimit,CtgLimit,Enforce,Monitor,Penalty,AngleLimit,HVDC,CID,PriceCID
N110001_N110041_1,,N110001,N110041,,138.000,0.00000000,0.08810000,227.900,227.900,0,0,0.000,0.000,0,,0
N110001_N110113_1,,N110001,N110113,,138.000,0.00000000,0.00896000,307.200,307.200,0,0,0.000,0.000,0,,0
N110001_N230292_1,,N110001,N230292,,138.000,0.00000000,0.05109000,257.200,257.200,0,0,0.000,0.000,0,,0
N110001_N270046_1,,N110001,N270046,,138.000,0.00000000,0.04105000,271.400,271.400,0,0,0.000,0.000,0,,0
N110005_N110065_1,,N110005,N110065,,138.000,0.00000000,0.01300000,307.400,307.400,0,0,0.000,0.000,0,,0
N110005_N111259_1,,N110005,N111259,,138.000,0.00000000,0.01847000,300.800,300.800,0,0,0.000,0.000,0,,0
N110005_N111363_1,,N110005,N111363,,138.000,0.00000000,0.01921000,302.200,302.200,0,0,0.000,0.000,0,,0
N110005_N111411_1,,N110005,N111411,,138.000,0.00000000,0.01508000,293.000,293.000,0,0,0.000,0.000,0,,0
N110101_N110009_1,,N110101,N110009,,138.000,0.00000000,0.02731000,290.200,290.200,0,0,0.000,0.000,0,,0
N110009_N110105_1,,N110009,N110105,,138.000,0.00000000,0.02293000,231.600,231.600,0,0,0.000,0.000,0,,0
N110009_N110121_1,,N110009,N110121,,138.000,0.00000000,0.03531000,295.600,295.600,0,0,0.000,0.000,0,,0
N110123_N110013_1,,N110123,N110013,,138.000,0.00000000,0.01839000,278.300,278.300,0,0,0.000,0.000,0,,0
N110132_N110013_1,,N110132,N110013,,138.000,0.00000000,0.02626000,289.900,289.900,0,0,0.000,0.000,0,,0
N110017_N110137_1,,N110017,N110137,,138.000,0.00000000,0.01804000,243.300,243.300,0,0,0.000,0.000,0,,0
N110017_N110157_1,,N110017,N110157,,138.000,0.00000000,0.02340000,269.900,269.900,0,0,0.000,0.000,0,,0
N110017_N111409_1,,N110017,N111409,,138.000,0.00000000,0.03890000,234.600,234.600,0,0,0.000,0.000,0,,0
N110021_N110053_1,,N110021,N110053,,138.000,0.00000000,0.02688000,242.200,242.200,0,0,0.000,0.000,0,,0
N110021_N110134_1,,N110021,N110134,,138.000,0.00000000,0.02279000,238.700,238.700,0,0,0.000,0.000,0,,0
N110025_N110061_1,,N110025,N110061,,138.000,0.00000000,0.01829000,208.100,208.100,0,0,0.000,0.000,0,,0
N110134_N110025_1,,N110134,N110025,,138.000,0.00000000,0.01943000,219.600,219.600,0,0,0.000,0.000,0,,0
N110073_N110029_1,,N110073,N110029,,138.000,0.00000000,0.02779000,301.800,301.800,0,0,0.000,0.000,0,,0
N110029_N111363_1,,N110029,N111363,,138.000,0.00000000,0.01872000,295.900,295.900,0,0,0.000,0.000,0,,0
N110121_N110033_1,,N110121,N110033,,138.000,0.00000000,0.04155000,296.200,296.200,0,0,0.000,0.000,0,,0
N110033_N110719_1,,N110033,N110719,,138.000,0.00000000,0.06874000,292.000,292.000,0,0,0.000,0.000,0,,0
N110037_N110118_1,,N110037,N110118,,138.000,0.00000000,0.01403000,277.100,277.100,0,0,0.000,0.000,0,,0
N110124_N110037_1,,N110124,N110037,,138.000,0.00000000,0.01674000,278.800,278.800,0,0,0.000,0.000,0,,0
N110037_N230007_1,,N110037,N230007,,138.000,0.00000000,0.01472000,279.400,279.400,0,0,0.000,0.000,0,,0
N110041_N110061_1,,N110041,N110061,,138.000,0.00000000,0.03641000,210.500,210.500,0,0,0.000,0.000,0,,0
N110053_N110045_1,,N110053,N110045,,138.000,0.00000000,0.02769000,286.300,286.300,0,0,0.000,0.000,0,,0
N110045_N110057_1,,N110045,N110057,,138.000,0.00000000,0.02830000,270.900,270.900,0,0,0.000,0.000,0,,0
N110045_N110118_1,,N110045,N110118,,138.000,0.00000000,0.01623000,302.300,302.300,0,0,0.000,0.000,0,,0
N110045_N110118_2,,N110045,N110118,,138.000,0.00000000,0.01623000,302.300,302.300,0,0,0.000,0.000,0,,0
N110049_N110053_1,,N110049,N110053,,138.000,0.00000000,0.02832000,267.100,267.100,0,0,0.000,0.000,0,,0
N110049_N110057_1,,N110049,N110057,,138.000,0.00000000,0.03847000,287.300,287.300,0,0,0.000,0.000,0,,0
N110049_N110077_1,,N110049,N110077,,138.000,0.00000000,0.05297000,270.100,270.100,0,0,0.000,0.000,0,,0
N110133_N110049_1,,N110133,N110049,,138.000,0.00000000,0.01009000,336.600,336.600,0,0,0.000,0.000,0,,0
N110053_N160133_1,,N110053,N160133,,138.000,0.00000000,0.08203000,275.300,275.300,0,0,0.000,0.000,0,,0
