CostCurve,BaseCost,LoadFlag,NonConvex
N111180_1,0.000,0,0
N111181_1,0.000,0,0
N111183_1,0.000,0,0
N111184_1,0.000,0,0
N111185_1,0.000,0,0
N111186_1,0.000,0,0
N111187_1,0.000,0,0
N111188_1,0.000,0,0
N111200_1,0.000,0,0
N111201_1,0.000,0,0
N111202_1,0.000,0,0
N111203_1,0.000,0,0
N111204_1,0.000,0,0
N111205_1,0.000,0,0
N111208_1,0.000,0,0
N111209_1,0.000,0,0
N111212_2,0.000,0,0
N111213_1,0.000,0,0
N111215_1,0.000,0,0
N111220_1,0.000,0,0
N111221_1,0.000,0,0
N111234_1,551.500,0,0
N111339_1,843.750,0,0
N111340_1,1818.950,0,0
N111341_1,1818.950,0,0
N111343_1,0.000,0,0
N111344_1,0.000,0,0
N111344_2,0.000,0,0
N111345_1,0.000,0,0
N111352_1,1818.950,0,0
N111386_1,0.000,0,0
N111390_1,2716.450,0,0
N111391_1,1993.500,0,0
N111392_1,1993.500,0,0
N111395_1,0.000,0,0
N111396_1,0.000,0,0
N111397_1,0.000,0,0
N111398_1,0.000,0,0
N111399_1,0.000,0,0
N111400_1,0.000,0,0
N111402_1,0.000,0,0
N111402_2,0.000,0,0
N111404_1,2146.200,0,0
N120434_1,0.000,0,0
N120434_2,0.000,0,0
N120436_1,0.000,0,0
N120438_1,0.000,0,0
N120439_1,0.000,0,0
N120442_1,0.000,0,0
N120442_2,0.000,0,0
N120443_1,0.000,0,0
N120443_2,0.000,0,0
N120444_1,0.000,0,0
N120445_1,717.000,0,0
N120446_1,0.000,0,0
N120456_1,0.000,0,0
N120456_2,0.000,0,0
N120457_1,0.000,0,0
N120457_2,0.000,0,0
N120467_1,0.000,0,0
N120469_1,0.000,0,0
N120470_1,0.000,0,0
N120472_1,843.750,0,0
N120473_1,1818.950,0,0
N120474_1,1818.950,0,0
N120490_1,0.000,0,0
N120493_1,0.000,0,0
N120498_1,0.000,0,0
N120500_1,0.000,0,0
N120503_2,0.000,0,0
N120507_1,0.000,0,0
N120512_1,0.000,0,0
N130351_1,231.000,0,0
N130352_1,97.350,0,0
N130353_1,105.150,0,0
N140304_1,0.000,0,0
N140305_1,0.000,0,0
N140306_1,0.000,0,0
N140307_1,0.000,0,0
N140308_1,2581.000,0,0
N140311_1,0.000,0,0
N140311_2,0.000,0,0
N140313_1,0.000,0,0
N140314_1,0.000,0,0
N140320_1,0.000,0,0
N140321_1,0.000,0,0
N140327_1,0.000,0,0
N140328_1,0.000,0,0
N140328_2,0.000,0,0
N140332_1,1269.200,0,0
N140333_1,940.140,0,0
N140341_1,0.000,0,0
N140341_2,0.000,0,0
N140342_1,0.000,0,0
N140342_2,0.000,0,0
N140343_1,0.000,0,0
N140343_2,0.000,0,0
N140361_1,717.000,0,0
N140362_1,434.400,0,0
N140363_1,434.400,0,0
N140374_1,0.000,0,0
N140374_2,0.000,0,0
N140375_1,0.000,0,0
N140375_2,0.000,0,0
N140377_1,0.000,0,0
N150428_1,2943.360,0,0
N150429_1,2935.260,0,0
N150431_1,0.000,0,0
N150433_1,8668.240,0,0
N150435_1,0.000,0,0
N150436_1,0.000,0,0
N150437_1,843.750,0,0
N150439_1,538.000,0,0
N150441_1,0.000,0,0
N150442_1,0.000,0,0
N150445_1,0.000,0,0
N150446_1,0.000,0,0
N150447_1,0.000,0,0
N150448_1,0.000,0,0
N150492_1,0.000,0,0
N150496_1,0.000,0,0
N150499_1,0.000,0,0
N150502_1,0.000,0,0
N150505_1,0.000,0,0
N150507_1,0.000,0,0
N150510_1,0.000,0,0
N150512_1,0.000,0,0
N150515_1,0.000,0,0
N150517_1,0.000,0,0
N150520_1,0.000,0,0
N150524_1,1993.500,0,0
N150525_1,1993.500,0,0
N150528_1,0.000,0,0
N150531_1,0.000,0,0
N150534_1,0.000,0,0
N150541_1,0.000,0,0
N150541_2,0.000,0,0
N150542_1,0.000,0,0
N150543_1,0.000,0,0
N150543_2,0.000,0,0
N150544_1,0.000,0,0
N150544_2,0.000,0,0
N150545_1,0.000,0,0
N150545_2,0.000,0,0
N150546_1,0.000,0,0
N150546_2,0.000,0,0
N150547_1,0.000,0,0
N150549_1,0.000,0,0
N150552_1,0.000,0,0
N150554_1,0.000,0,0
N160208_1,3058.000,0,0
N160210_1,0.000,0,0
N160263_1,0.000,0,0
N160270_1,0.000,0,0
N160273_1,0.000,0,0
N160275_1,0.000,0,0
N160278_1,0.000,0,0
N160281_1,0.000,0,0
N160286_1,0.000,0,0
N160288_1,0.000,0,0
N160291_1,0.000,0,0
N160293_1,0.000,0,0
N160294_1,0.000,0,0
N160297_1,0.000,0,0
N160298_1,0.000,0,0
N160301_1,0.000,0,0
N160303_1,0.000,0,0
N170518_1,1847.040,0,0
N170519_1,3135.440,0,0
N170522_1,551.500,0,0
N170523_1,514.250,0,0
N170524_1,549.600,0,0
N170525_1,0.000,0,0
N170528_1,0.000,0,0
N170529_1,0.000,0,0
N170529_2,0.000,0,0
N170530_1,0.000,0,0
N170530_2,0.000,0,0
N170535_1,0.000,0,0
N170536_1,0.000,0,0
N170577_1,0.000,0,0
N170579_1,0.000,0,0
N170583_1,0.000,0,0
N180111_1,0.000,0,0
N180114_1,0.000,0,0
N180117_1,0.000,0,0
N180119_1,0.000,0,0
N180121_1,0.000,0,0
N180123_1,0.000,0,0
N180126_1,0.000,0,0
