CostCurve,Point,X,Y
N111180_1,1,94.000,46.170
N111180_1,2,205.000,46.680
N111180_1,3,316.000,47.190
N111180_1,4,427.000,47.690
N111180_1,5,430.000,48.200
N111180_1,6,636.000,75.000
N111180_1,7,708.000,78.000
N111181_1,1,94.000,45.900
N111181_1,2,271.000,47.030
N111181_1,3,378.000,48.170
N111181_1,4,462.000,49.290
N111181_1,5,486.000,50.430
N111181_1,6,692.000,75.000
N111181_1,7,715.000,78.000
N111183_1,1,30.000,46.900
N111183_1,2,32.000,48.650
N111183_1,3,37.000,50.400
N111183_1,4,41.000,52.160
N111183_1,5,44.000,53.910
N111183_1,6,48.000,55.660
N111183_1,7,51.000,57.410
N111183_1,8,54.000,59.160
N111184_1,1,30.000,46.900
N111184_1,2,32.000,48.650
N111184_1,3,37.000,50.400
N111184_1,4,41.000,52.160
N111184_1,5,44.000,53.910
N111184_1,6,48.000,55.660
N111184_1,7,51.000,57.410
N111184_1,8,54.000,59.160
N111185_1,1,30.000,46.900
N111185_1,2,32.000,48.650
N111185_1,3,37.000,50.400
N111185_1,4,41.000,52.160
N111185_1,5,44.000,53.910
N111185_1,6,48.000,55.660
N111185_1,7,51.000,57.410
N111185_1,8,54.000,59.160
N111186_1,1,30.000,46.900
N111186_1,2,36.000,49.480
N111186_1,3,42.000,52.050
N111186_1,4,47.000,54.620
N111186_1,5,50.000,57.200
N111187_1,1,30.000,49.530
N111187_1,2,35.000,49.770
N111187_1,3,40.000,52.620
N111187_1,4,45.000,55.490
N111187_1,5,50.000,58.390
N111187_1,6,55.000,61.310
N111187_1,7,60.000,66.910
N111187_1,8,64.000,67.240
N111188_1,1,30.000,49.530
N111188_1,2,34.000,49.770
N111188_1,3,38.000,52.620
N111188_1,4,42.000,55.490
N111188_1,5,46.000,55.760
N111188_1,6,50.000,58.680
N111188_1,7,54.000,61.610
N111200_1,1,53.000,58.840
N111200_1,2,55.000,60.190
N111200_1,3,57.000,61.550
N111200_1,4,58.000,61.850
N111201_1,1,53.000,58.840
N111201_1,2,55.000,60.190
N111201_1,3,57.000,61.550
N111201_1,4,58.000,61.850
N111202_1,1,53.000,58.840
N111202_1,2,55.000,60.190
N111202_1,3,57.000,61.550
N111202_1,4,58.000,61.850
N111203_1,1,53.000,58.840
N111203_1,2,55.000,60.190
N111203_1,3,57.000,61.550
N111203_1,4,58.000,61.850
N111204_1,1,53.000,58.840
N111204_1,2,55.000,60.190
N111204_1,3,57.000,61.550
N111204_1,4,58.000,61.850
N111205_1,1,53.000,58.840
N111205_1,2,55.000,60.190
N111205_1,3,57.000,61.550
N111205_1,4,58.000,61.850
N111208_1,1,156.000,13.440
N111208_1,2,274.000,14.030
N111208_1,3,355.000,14.610
N111208_1,4,420.000,15.200
N111208_1,5,477.000,15.790
N111208_1,6,527.000,16.380
N111208_1,7,573.000,16.970
N111208_1,8,616.000,17.560
N111208_1,9,664.000,18.220
N111209_1,1,159.000,15.230
N111209_1,2,278.000,16.010
N111209_1,3,360.000,16.790
N111209_1,4,427.000,17.570
N111209_1,5,484.000,18.350
N111209_1,6,536.000,19.130
N111209_1,7,583.000,19.910
N111209_1,8,626.000,20.690
N111209_1,9,659.000,21.470
N111212_2,1,165.600,56.960
N111212_2,2,552.000,56.960
N111213_1,1,54.000,47.090
N111213_1,2,74.000,47.970
N111213_1,3,94.000,48.840
N111213_1,4,114.000,49.710
N111213_1,5,134.000,50.580
N111213_1,6,138.000,51.450
N111213_1,7,229.000,75.000
N111215_1,1,27.000,50.190
N111215_1,2,41.000,51.360
N111215_1,3,55.000,52.530
N111215_1,4,69.000,53.700
N111215_1,5,83.000,54.870
N111215_1,6,97.000,56.040
N111215_1,7,100.000,57.210
N111215_1,8,160.000,75.000
N111220_1,1,75.000,48.010
N111220_1,2,76.000,48.250
N111220_1,3,77.000,48.490
N111220_1,4,78.000,48.730
N111220_1,5,79.000,48.970
N111220_1,6,80.000,49.210
N111220_1,7,81.000,49.450
N111221_1,1,75.000,48.010
N111221_1,2,76.000,48.250
N111221_1,3,77.000,48.490
N111221_1,4,78.000,48.730
N111221_1,5,79.000,48.970
N111221_1,6,80.000,49.210
N111221_1,7,81.000,49.450
N111234_1,1,50.000,79.190
N111234_1,2,75.000,85.200
N111339_1,1,45.000,56.960
N111339_1,2,63.400,57.230
N111339_1,3,82.200,57.500
N111339_1,4,101.000,57.770
N111339_1,5,119.800,58.040
N111339_1,6,138.600,58.310
N111339_1,7,157.400,58.580
N111339_1,8,176.200,58.860
N111340_1,1,35.000,57.460
N111340_1,2,36.000,57.500
N111340_1,3,166.000,62.450
N111341_1,1,35.000,57.460
N111341_1,2,36.000,57.500
N111341_1,3,166.000,62.450
N111343_1,1,30.000,60.870
N111343_1,2,38.000,60.890
N111344_1,1,30.000,60.870
N111344_1,2,38.000,60.890
N111344_2,1,30.000,60.870
N111344_2,2,38.000,60.890
N111345_1,1,30.000,60.870
N111345_1,2,38.000,60.890
N111352_1,1,35.000,57.460
N111352_1,2,36.000,57.500
N111352_1,3,154.800,62.450
N111386_1,1,30.000,49.530
N111386_1,2,35.000,49.770
N111386_1,3,40.000,52.620
