Cycle,Injector,CostCurve,CurveSet
0,N111180_1,N111180_1,
0,N111181_1,N111181_1,
0,N111183_1,N111183_1,
0,N111184_1,N111184_1,
0,N111185_1,N111185_1,
0,N111186_1,N111186_1,
0,N111187_1,N111187_1,
0,N111188_1,N111188_1,
0,N111200_1,N111200_1,
0,N111201_1,N111201_1,
0,N111202_1,N111202_1,
0,N111203_1,N111203_1,
0,N111204_1,N111204_1,
0,N111205_1,N111205_1,
0,N111208_1,N111208_1,
0,N111209_1,N111209_1,
0,N111212_2,N111212_2,
0,N111213_1,N111213_1,
0,N111215_1,N111215_1,
0,N111220_1,N111220_1,
0,N111221_1,N111221_1,
0,N111234_1,N111234_1,
0,N111339_1,N111339_1,
0,N111340_1,N111340_1,
0,N111341_1,N111341_1,
0,N111343_1,N111343_1,
0,N111344_1,N111344_1,
0,N111344_2,N111344_2,
0,N111345_1,N111345_1,
0,N111352_1,N111352_1,
0,N111386_1,N111386_1,
0,N111390_1,N111390_1,
0,N111391_1,N111391_1,
0,N111392_1,N111392_1,
0,N111395_1,N111395_1,
0,N111396_1,N111396_1,
0,N111397_1,N111397_1,
0,N111398_1,N111398_1,
0,N111399_1,N111399_1,
0,N111400_1,N111400_1,
0,N111402_1,N111402_1,
0,N111402_2,N111402_2,
0,N111404_1,N111404_1,
0,N120434_1,N120434_1,
0,N120434_2,N120434_2,
0,N120436_1,N120436_1,
0,N120438_1,N120438_1,
0,N120439_1,N120439_1,
0,N120442_1,N120442_1,
0,N120442_2,N120442_2,
0,N120443_1,N120443_1,
0,N120443_2,N120443_2,
0,N120444_1,N120444_1,
0,N120445_1,N120445_1,
0,N120446_1,N120446_1,
0,N120456_1,N120456_1,
0,N120456_2,N120456_2,
0,N120457_1,N120457_1,
0,N120457_2,N120457_2,
0,N120467_1,N120467_1,
0,N120469_1,N120469_1,
0,N120470_1,N120470_1,
0,N120472_1,N120472_1,
0,N120473_1,N120473_1,
0,N120474_1,N120474_1,
0,N120490_1,N120490_1,
0,N120493_1,N120493_1,
0,N120498_1,N120498_1,
0,N120500_1,N120500_1,
0,N120503_2,N120503_2,
0,N120507_1,N120507_1,
0,N120512_1,N120512_1,
0,N130351_1,N130351_1,
0,N130352_1,N130352_1,
0,N130353_1,N130353_1,
0,N140304_1,N140304_1,
0,N140305_1,N140305_1,
0,N140306_1,N140306_1,
0,N140307_1,N140307_1,
0,N140308_1,N140308_1,
0,N140311_1,N140311_1,
0,N140311_2,N140311_2,
0,N140313_1,N140313_1,
0,N140314_1,N140314_1,
0,N140320_1,N140320_1,
0,N140321_1,N140321_1,
0,N140327_1,N140327_1,
0,N140328_1,N140328_1,
0,N140328_2,N140328_2,
