Injector,MinDispatch,MinOn,MinOff,MinTime,BaseCost,DefaultMustRun,HotStartCost,WarmStartCost,ColdStartCost,TimeToWarm,TimeToCold,HotUpTime,WarmUpTime,ColdUpTime
N111180_1,94.000,6,4,0,0,0,7460.000,7460.000,7460.000,4,48,2,3.5,12
N111181_1,94.000,6,4,0,0,0,7490.000,7490.000,7490.000,4,48,2,3.5,12
N111190_1,27.000,8,4.5,0,0,0,20184.000,20184.000,20184.000,5,40,0,0,0.1667
N111191_1,27.000,8,4.5,0,0,0,20184.000,20184.000,20184.000,5,40,2,3.5,12
N111192_1,53.000,8,4.5,0,0,0,484.500,484.500,484.500,5,40,1.5,3,12
N111193_1,53.000,8,4.5,0,0,0,484.500,484.500,484.500,5,40,0,0,1
N111194_1,53.000,8,4.5,0,0,0,484.500,484.500,484.500,5,40,0,0,1
N111195_1,53.000,8,4.5,0,0,0,484.500,484.500,484.500,5,40,0,0,1
N111196_1,53.000,8,4.5,0,0,0,484.500,484.500,484.500,5,40,0,0,1
N111197_1,53.000,8,4.5,0,0,0,484.500,484.500,484.500,5,40,0,0,1
N111198_1,53.000,8,4.5,0,0,0,484.500,484.500,484.500,5,40,0,0,1
N111199_1,53.000,8,4.5,0,0,0,484.500,484.500,484.500,5,40,0,0,1
N111208_1,156.000,8,8,0,0,0,7636.000,7636.000,7636.000,12,40,0,0,1
N111209_1,159.000,8,8,0,0,0,7624.500,7624.500,7624.500,12,40,0,0,1
N111212_2,230.184,6,4,0,0,0,5520.000,5520.000,5520.000,4,48,0,0,1
N111213_1,54.000,6,4,0,0,0,2730.000,2730.000,2730.000,4,48,0,0,1
N111214_1,30.000,6,4,0,0,0,1690.000,1690.000,1690.000,4,48,0,0,1
N111215_1,27.000,6,4,0,0,0,1690.000,1690.000,1690.000,4,48,0,0,1
N111217_1,1280.000,24,48,0,0,1,0,0,0,0,0,0,0,0
N111218_1,1280.000,24,48,0,0,1,0,0,0,0,0,0,0,0
N111234_1,35.925,8,4.5,0,0,0,2250.000,2250.000,2250.000,5,40,0.25,0.25,1
N111237_1,8.000,6,4,0,0,0,0.000,0.000,0.000,4,48,0,0,1
N111251_1,52.000,8,4.5,0,0,0,6503.530,6504.530,6505.530,5,40,0,0,0.1667
N111252_1,52.000,8,4.5,0,0,0,6503.530,6504.530,6505.530,5,40,0,0,0.1667
N111253_1,25.000,8,4.5,0,0,0,527.000,527.000,527.000,5,40,0,0,0.1667
N111254_1,55.000,8,4.5,0,0,0,586.500,586.500,586.500,5,40,1.5,3,3
N111266_1,10.000,6,12,0,0,0,450.000,450.000,450.000,4,48,0,0,1
N111266_2,10.000,6,12,0,0,0,450.000,450.000,450.000,4,48,0,0,1
N111270_1,43.000,8,4.5,0,0,0,3330.850,3330.850,3330.850,5,40,0,0,1
N111271_1,42.400,8,4.5,0,0,0,586.500,586.500,586.500,5,40,1.5,3,3
N111272_1,43.100,8,4.5,0,0,0,593.300,593.300,593.300,5,40,0,0,1
N111273_1,44.200,8,4.5,0,0,0,593.300,593.300,593.300,5,40,0,0,0.1667
N111274_1,43.000,8,4.5,0,0,0,595.850,595.850,595.850,5,40,0,0,0.1667
N111275_1,43.100,8,4.5,0,0,0,595.000,595.000,595.000,5,40,0,0,0.1667
N111276_1,42.800,8,4.5,0,0,0,581.400,581.400,581.400,5,40,0,0,0.1667
N111280_1,5.000,8,4.5,0,0,0,11181.500,11181.500,11181.500,5,40,0,0,0.1667
N111281_1,65.000,8,4.5,0,0,0,20184.000,20184.000,20184.000,5,40,0,0,0.1667
N111282_1,65.000,8,4.5,0,0,0,20184.000,20184.000,20184.000,5,40,1.5,3,3
N111283_1,65.000,8,4.5,0,0,0,20184.000,20184.000,20184.000,5,40,1.5,3,3
N111286_1,45.000,8,4.5,0,0,0,8812.600,8812.600,8812.600,5,40,1.5,3,3
N111287_1,45.000,8,4.5,0,0,0,8812.600,8812.600,8812.600,5,40,1.5,3,3
N111288_1,30.000,8,4.5,0,0,0,8809.200,8809.200,8809.200,5,40,2,3.5,3.5
N111289_1,50.000,8,4.5,0,0,0,580.550,580.550,580.550,5,40,1.5,3,3
N111290_1,50.000,8,4.5,0,0,0,580.550,580.550,580.550,5,40,1.5,3,3
N111295_1,50.000,8,4.5,0,0,0,586.500,586.500,586.500,5,40,1.5,3,12
N111296_1,50.000,8,4.5,0,0,0,586.500,586.500,586.500,5,40,1.5,3,3
N111301_1,50.000,8,4.5,0,0,0,21608.500,27003.600,31329.400,5,40,0,0,0.1667
N111302_1,70.000,8,4.5,0,0,0,2870.500,2870.500,2870.500,5,40,0,0,0.1667
N111303_1,70.000,8,4.5,0,0,0,2870.500,2870.500,2870.500,5,40,0,0,0.1667
N111304_1,70.000,8,4.5,0,0,0,2870.500,2870.500,2870.500,5,40,0,0,0.1667
N111312_1,65.000,8,4.5,0,0,0,21651.000,27046.100,31371.900,5,40,0,0,0.1667
N111313_1,80.000,8,4.5,0,0,0,21651.000,27046.100,31371.900,5,40,0,0,0.1667
N111314_1,80.000,8,4.5,0,0,0,21651.000,27046.100,31371.900,5,40,0,0,0.1667
N111315_1,80.000,8,4.5,0,0,0,21651.000,27046.100,31371.900,5,40,0,0,0.1667
N111316_1,60.000,8,4.5,0,0,0,510.000,510.000,510.000,5,40,0,0,1
N111318_1,120.000,8,4.5,0,0,0,21625.500,27020.600,31346.400,5,40,0,0,1
N111319_1,120.000,8,4.5,0,0,0,21625.500,27020.600,31346.400,5,40,0,0,1
N111320_1,120.000,8,4.5,0,0,0,21634.000,27029.100,31354.900,5,40,0,0,1
N111321_1,120.000,8,4.5,0,0,0,21617.000,27012.100,31337.900,5,40,0,0,1
N111322_1,80.000,8,4.5,0,0,0,3466.000,3466.000,3466.000,5,40,0,0,1
N111324_1,80.000,8,4.5,0,0,0,13484.500,15226.500,15447.500,5,40,2,3.5,3.5
N111325_1,120.000,8,4.5,0,0,0,26679.680,36722.560,51786.880,5,40,1.5,3,3
N111326_1,120.000,8,4.5,0,0,0,26679.680,36722.560,51786.880,5,40,0,0,0.1667
N111327_1,120.000,8,4.5,0,0,0,26662.680,36705.560,51769.880,5,40,0,0,0.1667
N111333_1,25.000,8,4.5,0,0,0,14328.500,15770.240,17144.450,5,40,0,0,0.1667
N111334_1,120.000,8,4.5,0,0,0,26594.680,36637.560,51701.880,5,40,0,0,0.1667
N111336_1,120.000,8,4.5,0,0,0,26594.680,36637.560,51701.880,5,40,0,0,0.1667
N111339_1,92.447,8,4.5,0,0,0,25107.180,35150.060,50214.380,5,40,0,0,0.1667
N111340_1,79.514,8,4.5,0,0,0,20248.500,25643.600,29969.400,5,40,0,0,0.1667
N111341_1,79.514,8,4.5,0,0,0,20248.500,25643.600,29969.400,5,40,0,0,1
N111347_1,40.000,8,4.5,0,0,0,14388.000,15829.740,17203.950,5,40,0,0,0.1667
N111348_1,102.000,8,4.5,0,0,0,26550.480,36593.360,51657.680,5,40,0,0,0.1667
N111349_1,102.000,8,4.5,0,0,0,26550.480,36593.360,51657.680,5,40,0,0,0.1667
N111350_1,102.000,8,4.5,0,0,0,26550.480,36593.360,51657.680,5,40,0,0,0.1667
N111351_1,102.000,8,4.5,0,0,0,26550.480,36593.360,51657.680,5,40,0,0,0.1667
N111352_1,74.149,8,4.5,0,0,0,20248.500,25643.600,29969.400,5,40,0,0,0.1667
N111354_1,19.000,8,4.5,0,0,0,2887.500,2887.500,2887.500,5,40,0,0,0.1667
N111355_1,110.000,8,4.5,0,0,0,21591.500,26986.600,31312.400,5,40,0,0,0.1667
N111356_1,110.000,8,4.5,0,0,0,21591.500,26986.600,31312.400,5,40,0,0,0.1667
N111357_1,110.000,8,4.5,0,0,0,21591.500,26986.600,31312.400,5,40,1.5,3,12
N111358_1,25.000,8,4.5,0,0,0,2887.500,2887.500,2887.500,5,40,2,3.5,12
N111360_1,110.000,8,4.5,0,0,0,26547.080,36589.960,51654.280,5,40,0,0,1
N111361_1,4.000,8,4.5,0,0,0,425.000,425.000,425.000,5,40,0,0,0.1667
N111364_1,35.000,8,4.5,0,0,0,8833.000,8833.000,8833.000,5,40,0,0,0.1667
N111365_1,35.000,8,4.5,0,0,0,8833.000,8833.000,8833.000,5,40,0,0,0.1667
N111366_1,45.000,8,4.5,0,0,0,2862.000,2862.000,2862.000,5,40,0,0,0.1667
N111367_1,45.000,8,4.5,0,0,0,2862.000,2862.000,2862.000,5,40,0,0,0.1667
N111368_1,45.000,8,4.5,0,0,0,2862.000,2862.000,2862.000,5,40,0,0,0.1667
N111369_1,45.000,8,4.5,0,0,0,2862.000,2862.000,2862.000,5,40,0,0,1
N111372_1,70.000,8,4.5,0,0,0,26569.180,36612.060,51676.380,5,40,2,3.5,12
N111373_1,130.000,8,4.5,0,0,0,21651.000,27046.100,31371.900,5,40,0,0,0.1667
N111374_1,130.000,8,4.5,0,0,0,21651.000,27046.100,31371.900,5,40,0,0,0.1667
N111386_1,33.530,8,4.5,0,0,0,0.000,0.000,0.000,5,40,0,0,1
N111390_1,226.327,8,4.5,0,0,0,27587.250,29387.250,38118.250,5,40,0,0,1
N111391_1,158.980,8,4.5,0,0,0,19640.740,27723.820,37595.400,5,40,0,0,1
N111392_1,160.609,8,4.5,0,0,0,19669.640,27752.720,37624.300,5,40,1.5,3,3
N111395_1,25.866,8,4.5,0,0,0,0.000,0.000,0.000,5,40,0,0,1
N111396_1,25.866,8,4.5,0,0,0,0.000,0.000,0.000,5,40,0,0,1
N111397_1,25.866,8,4.5,0,0,0,0.000,0.000,0.000,5,40,0,0,1
N111398_1,25.866,8,4.5,0,0,0,0.000,0.000,0.000,5,40,0,0,1
N111399_1,25.866,8,4.5,0,0,0,0.000,0.000,0.000,5,40,0,0,1
N111400_1,25.866,8,4.5,0,0,0,0.000,0.000,0.000,5,40,0,0,12
N111404_1,60.000,8,4.5,0,0,0,2068.000,2068.000,2068.000,5,40,0,0,0.1667
N120438_1,60.000,6,4,0,0,0,4200.000,4200.000,4200.000,4,48,0,0,1
N120439_1,60.000,6,4,0,0,0,4100.000,4100.000,4100.000,4,48,0,0,1
N120444_1,60.000,6,4,0,0,0,4120.000,4120.000,4120.000,4,48,0,0,1
N120445_1,50.000,6,4,0,0,0,8905.600,10830.870,14992.590,4,48,0,0,1
N120446_1,50.000,6,4,0,0,0,2170.000,2170.000,2170.000,4,48,0,0,1
N120463_1,125.000,8,8,0,0,0,12028.000,12028.000,12028.000,12,40,0,0,1
N120467_1,220.000,8,8,0,0,0,4496.500,4496.500,4496.500,12,40,0,0,1
N120469_1,290.000,8,8,0,0,0,9027.500,9027.500,9027.500,12,72,1.5,3.5,12
N120470_1,125.000,8,8,0,0,0,6440.000,6440.000,6440.000,12,40,0,0,0.1667
N120472_1,91.010,8,4.5,0,0,0,26722.180,36765.060,51829.380,5,40,2,3.5,12
N120473_1,78.556,8,4.5,0,0,0,21642.500,27037.600,31363.400,5,40,1.5,3,3
N120474_1,78.556,8,4.5,0,0,0,21642.500,27037.600,31363.400,5,40,1.5,3,3
N130351_1,150.000,6,4,0,0,0,10480.000,10480.000,10480.000,4,48,2,3.5,12
N130352_1,15.000,6,4,0,0,0,3490.000,3490.000,3490.000,4,48,2,3.5,12
N130353_1,15.000,6,4,0,0,0,3530.000,3530.000,3530.000,4,48,2,3.5,12
N130356_1,80.000,8,4.5,0,0,0,3040.400,3040.400,3040.400,5,40,0,0,0.1667
N130359_1,88.000,8,4.5,0,0,0,3468.000,3468.000,3468.000,5,40,0,0,0.1667
N130360_1,88.000,8,4.5,0,0,0,3468.000,3468.000,3468.000,5,40,0,0,0.1667
N130361_1,90.000,8,4.5,0,0,0,21668.000,27063.100,31388.900,5,40,0,0,0.1667
N130362_1,90.000,8,4.5,0,0,0,21600.000,26995.100,31320.900,5,40,0,0,0.1667
N130363_1,90.000,8,4.5,0,0,0,21600.000,26995.100,31320.900,5,40,0,0,0.1667
N130364_1,90.000,8,4.5,0,0,0,21668.000,27063.100,31388.900,5,40,0,0,0.1667
N130365_1,90.000,8,4.5,0,0,0,21600.000,26995.100,31320.900,5,40,0,0,0.1667
N130366_1,90.000,8,4.5,0,0,0,21600.000,26995.100,31320.900,5,40,0,0,0.1667
N140308_1,50.000,6,4,0,0,0,9691.810,16210.920,25037.830,4,48,2,3.5,3.5
N140309_1,50.000,6,4,0,0,0,20019.590,28102.670,37974.250,4,48,2,3.5,3.5
N140332_1,20.000,6,4,0,0,0,13266.360,17403.320,25397.270,4,48,0,0,1
N140333_1,18.000,6,4,0,0,0,12494.930,15671.620,24094.670,4,48,0,0,1
N140335_1,75.000,8,4.5,0,0,0,26637.180,36680.060,51744.380,5,40,0,0,1
N140336_1,95.000,8,4.5,0,0,0,1428.000,1428.000,1428.000,5,40,0,0,1
