Injector,Name,Area,LoadFlag,Link,MaxMw,MinMw,RaiseRR,LowerRR,MinTime,RampSuSd,EnergyCost,CostAdder,RampUpCost,RampDnCost
N111180_1,Cedar Bayou 1,,0,0,746.000,0.000,22.380,22.380,0.000,0,0.000,0.000,0.000,0.000
N111181_1,Cedar Bayou 2,,0,0,749.000,0.000,22.470,22.470,0.000,0,0.000,0.000,0.000,0.000
N111183_1,Greens Bayou 73,,0,0,54.000,0.000,3.634,3.634,0.000,0,0.000,0.000,0.000,0.000
N111184_1,Greens Bayou 74,,0,0,54.000,0.000,3.634,3.634,0.000,0,0.000,0.000,0.000,0.000
N111185_1,Greens Bayou 81,,0,0,54.000,0.000,3.634,3.634,0.000,0,0.000,0.000,0.000,0.000
N111186_1,Greens Bayou 82,,0,0,50.000,0.000,3.365,3.365,0.000,0,0.000,0.000,0.000,0.000
N111187_1,Greens Bayou 83,,0,0,64.000,0.000,4.307,4.307,0.000,0,0.000,0.000,0.000,0.000
N111188_1,Greens Bayou 84,,0,0,54.000,0.000,3.634,3.634,0.000,0,0.000,0.000,0.000,0.000
N111190_1,T H Wharton 3,,0,0,104.000,0.000,3.120,3.120,0.000,0,42.781,0.000,0.000,0.000
N111191_1,T H Wharton 4,,0,0,104.000,0.000,3.120,3.120,0.000,0,42.781,0.000,0.000,0.000
N111192_1,T H Wharton 33,,0,0,57.000,0.000,2.000,2.000,0.000,0,42.781,0.000,0.000,0.000
N111193_1,T H Wharton 34,,0,0,57.000,0.000,2.000,2.000,0.000,0,42.781,0.000,0.000,0.000
N111194_1,T H Wharton 41,,0,0,57.000,0.000,2.000,2.000,0.000,0,42.781,0.000,0.000,0.000
N111195_1,T H Wharton 42,,0,0,57.000,0.000,2.000,2.000,0.000,0,42.781,0.000,0.000,0.000
N111196_1,T H Wharton 43,,0,0,57.000,0.000,2.000,2.000,0.000,0,42.781,0.000,0.000,0.000
N111197_1,T H Wharton 44,,0,0,57.000,0.000,2.000,2.000,0.000,0,42.781,0.000,0.000,0.000
N111198_1,T H Wharton 31,,0,0,57.000,0.000,2.000,2.000,0.000,0,42.781,0.000,0.000,0.000
N111199_1,T H Wharton 32,,0,0,57.000,0.000,2.000,2.000,0.000,0,42.781,0.000,0.000,0.000
N111200_1,T H Wharton 51,,0,0,58.000,0.000,3.903,3.903,0.000,0,0.000,0.000,0.000,0.000
N111201_1,T H Wharton 52,,0,0,58.000,0.000,3.903,3.903,0.000,0,0.000,0.000,0.000,0.000
N111202_1,T H Wharton 53,,0,0,58.000,0.000,3.903,3.903,0.000,0,0.000,0.000,0.000,0.000
N111203_1,T H Wharton 54,,0,0,58.000,0.000,3.903,3.903,0.000,0,0.000,0.000,0.000,0.000
N111204_1,T H Wharton 55,,0,0,58.000,0.000,3.903,3.903,0.000,0,0.000,0.000,0.000,0.000
N111205_1,T H Wharton 56,,0,0,58.000,0.000,3.903,3.903,0.000,0,0.000,0.000,0.000,0.000
N111208_1,W A Parish 5,,0,0,664.000,0.000,12.882,12.882,0.000,0,0.000,0.000,0.000,0.000
N111209_1,W A Parish 6,,0,0,663.000,0.000,12.862,12.862,0.000,0,0.000,0.000,0.000,0.000
N111212_2,W A Parish 4,,0,0,552.000,0.000,16.560,16.560,0.000,0,0.000,0.000,0.000,0.000
N111213_1,W A Parish 3,,0,0,273.000,0.000,8.190,8.190,0.000,0,0.000,0.000,0.000,0.000
N111214_1,W A Parish 1,,0,0,169.000,0.000,5.070,5.070,0.000,0,53.501,0.000,0.000,0.000
N111215_1,W A Parish 2,,0,0,169.000,0.000,5.070,5.070,0.000,0,0.000,0.000,0.000,0.000
N111217_1,South Texas Project 1,,0,0,1280.000,0.000,64.000,64.000,0.000,0,11.054,0.000,0.000,0.000
N111218_1,South Texas Project 2,,0,0,1280.000,0.000,64.000,64.000,0.000,0,10.543,0.000,0.000,0.000
N111220_1,San Jacinto Steam Electric Station 1,,0,0,81.000,0.000,5.451,5.451,0.000,0,0.000,0.000,0.000,0.000
N111221_1,San Jacinto Steam Electric Station 2,,0,0,81.000,0.000,5.451,5.451,0.000,0,0.000,0.000,0.000,0.000
N111231_1,Bayou Cogen Plant GT1,,0,0,75.000,0.000,5.048,5.048,0.000,0,24.419,0.000,0.000,0.000
N111232_1,Bayou Cogen Plant GT2,,0,0,75.000,0.000,5.048,5.048,0.000,0,24.419,0.000,0.000,0.000
N111233_1,Bayou Cogen Plant GT3,,0,0,75.000,0.000,5.048,5.048,0.000,0,24.419,0.000,0.000,0.000
N111234_1,Bayou Cogen Plant GT4,,0,0,75.000,0.000,2.250,2.250,0.000,0,0.000,0.000,0.000,0.000
N111237_1,Ascend Performance Materials Texas Inc. GEN4,,0,0,42.500,0.000,2.000,2.000,0.000,0,20.140,0.000,0.000,0.000
N111246_1,ExxonMobil Baytown Turbine GEN5,,0,0,140.000,0.000,9.422,9.422,0.000,0,25.381,0.000,0.000,0.000
N111247_1,ExxonMobil Baytown Turbine GEN4,,0,0,90.000,0.000,6.057,6.057,0.000,0,25.381,0.000,0.000,0.000
N111251_1,Houston Chemical Complex Battleground GT1,,0,0,66.000,0.000,2.000,2.000,0.000,0,26.003,0.000,0.000,0.000
N111252_1,Houston Chemical Complex Battleground GT2,,0,0,66.000,0.000,2.000,2.000,0.000,0,26.003,0.000,0.000,0.000
N111253_1,Houston Chemical Complex Battleground ST,,0,0,62.000,0.000,2.000,2.000,0.000,0,26.003,0.000,0.000,0.000
N111254_1,Houston Chemical Complex Battleground GT3,,0,0,69.000,0.000,2.070,2.070,0.000,0,26.003,0.000,0.000,0.000
N111260_1,Newgulf Cogen GEN1,,0,0,69.000,0.000,4.644,4.644,0.000,0,57.159,0.000,0.000,0.000
N111266_1,Shell Deer Park GEN1,,0,0,45.000,0.000,2.000,2.000,0.000,0,24.710,0.000,0.000,0.000
N111266_2,Shell Deer Park GEN2,,0,0,45.000,0.000,2.000,2.000,0.000,0,24.710,0.000,0.000,0.000
N111267_1,Shell Deer Park GEN4,,0,0,75.000,0.000,5.048,5.048,0.000,0,40.244,0.000,0.000,0.000
N111268_1,Shell Deer Park GEN5,,0,0,70.000,0.000,4.711,4.711,0.000,0,40.244,0.000,0.000,0.000
N111270_1,Optim Energy Altura Cogen LLC GEN6,,0,0,120.100,0.000,3.603,3.603,0.000,0,25.579,0.000,0.000,0.000
N111271_1,Optim Energy Altura Cogen LLC GEN7,,0,0,69.000,0.000,2.070,2.070,0.000,0,25.579,0.000,0.000,0.000
N111272_1,Optim Energy Altura Cogen LLC GEN1,,0,0,69.800,0.000,2.094,2.094,0.000,0,25.579,0.000,0.000,0.000
N111273_1,Optim Energy Altura Cogen LLC GEN2,,0,0,69.800,0.000,2.094,2.094,0.000,0,25.579,0.000,0.000,0.000
N111274_1,Optim Energy Altura Cogen LLC GEN3,,0,0,70.100,0.000,2.103,2.103,0.000,0,25.579,0.000,0.000,0.000
N111275_1,Optim Energy Altura Cogen LLC GEN4,,0,0,70.000,0.000,2.100,2.100,0.000,0,25.579,0.000,0.000,0.000
N111276_1,Optim Energy Altura Cogen LLC GEN5,,0,0,68.400,0.000,2.052,2.052,0.000,0,25.579,0.000,0.000,0.000
N111280_1,Texas City Power Plant GEN1,,0,0,139.000,0.000,4.170,4.170,0.000,0,26.242,0.000,0.000,0.000
