Injector,Node,PhysicalArea,LossFactor,IgnoreLoss
N111180_1,N111180,,0.00000000,0
N111181_1,N111181,,0.00000000,0
N111183_1,N111183,,0.00000000,0
N111184_1,N111184,,0.00000000,0
N111185_1,N111185,,0.00000000,0
N111186_1,N111186,,0.00000000,0
N111187_1,N111187,,0.00000000,0
N111188_1,N111188,,0.00000000,0
N111190_1,N111190,,0.00000000,0
N111191_1,N111191,,0.00000000,0
N111192_1,N111192,,0.00000000,0
N111193_1,N111193,,0.00000000,0
N111194_1,N111194,,0.00000000,0
N111195_1,N111195,,0.00000000,0
N111196_1,N111196,,0.00000000,0
N111197_1,N111197,,0.00000000,0
N111198_1,N111198,,0.00000000,0
N111199_1,N111199,,0.00000000,0
N111200_1,N111200,,0.00000000,0
N111201_1,N111201,,0.00000000,0
N111202_1,N111202,,0.00000000,0
N111203_1,N111203,,0.00000000,0
N111204_1,N111204,,0.00000000,0
N111205_1,N111205,,0.00000000,0
N111208_1,N111208,,0.00000000,0
N111209_1,N111209,,0.00000000,0
N111212_2,N111212,,0.00000000,0
N111213_1,N111213,,0.00000000,0
N111214_1,N111214,,0.00000000,0
N111215_1,N111215,,0.00000000,0
N111217_1,N111217,,0.00000000,0
N111218_1,N111218,,0.00000000,0
N111220_1,N111220,,0.00000000,0
N111221_1,N111221,,0.00000000,0
N111231_1,N111231,,0.00000000,0
N111232_1,N111232,,0.00000000,0
N111233_1,N111233,,0.00000000,0
N111234_1,N111234,,0.00000000,0
N111237_1,N111237,,0.00000000,0
N111246_1,N111246,,0.00000000,0
N111247_1,N111247,,0.00000000,0
N111251_1,N111251,,0.00000000,0
N111252_1,N111252,,0.00000000,0
N111253_1,N111253,,0.00000000,0
N111254_1,N111254,,0.00000000,0
N111260_1,N111260,,0.00000000,0
N111266_1,N111266,,0.00000000,0
N111266_2,N111266,,0.00000000,0
N111267_1,N111267,,0.00000000,0
N111268_1,N111268,,0.00000000,0
N111270_1,N111270,,0.00000000,0
N111271_1,N111271,,0.00000000,0
N111272_1,N111272,,0.00000000,0
N111273_1,N111273,,0.00000000,0
N111274_1,N111274,,0.00000000,0
N111275_1,N111275,,0.00000000,0
N111276_1,N111276,,0.00000000,0
N111280_1,N111280,,0.00000000,0
N111281_1,N111281,,0.00000000,0
N111282_1,N111282,,0.00000000,0
N111283_1,N111283,,0.00000000,0
N111286_1,N111286,,0.00000000,0
N111287_1,N111287,,0.00000000,0
N111288_1,N111288,,0.00000000,0
N111289_1,N111289,,0.00000000,0
N111290_1,N111290,,0.00000000,0
N111292_1,N111292,,0.00000000,0
N111295_1,N111295,,0.00000000,0
N111296_1,N111296,,0.00000000,0
N111301_1,N111301,,0.00000000,0
N111302_1,N111302,,0.00000000,0
N111303_1,N111303,,0.00000000,0
N111304_1,N111304,,0.00000000,0
N111306_1,N111306,,0.00000000,0
N111307_1,N111307,,0.00000000,0
N111308_1,N111308,,0.00000000,0
N111309_1,N111309,,0.00000000,0
N111312_1,N111312,,0.00000000,0
N111313_1,N111313,,0.00000000,0
N111314_1,N111314,,0.00000000,0
N111315_1,N111315,,0.00000000,0
N111316_1,N111316,,0.00000000,0
N111318_1,N111318,,0.00000000,0
N111319_1,N111319,,0.00000000,0
N111320_1,N111320,,0.00000000,0
N111321_1,N111321,,0.00000000,0
N111322_1,N111322,,0.00000000,0
N111324_1,N111324,,0.00000000,0
N111325_1,N111325,,0.00000000,0
N111326_1,N111326,,0.00000000,0
N111327_1,N111327,,0.00000000,0
N111330_1,N111330,,0.00000000,0
N111333_1,N111333,,0.00000000,0
N111334_1,N111334,,0.00000000,0
N111336_1,N111336,,0.00000000,0
N111339_1,N111339,,0.00000000,0
N111340_1,N111340,,0.00000000,0
N111341_1,N111341,,0.00000000,0
N111343_1,N111343,,0.00000000,0
N111344_1,N111344,,0.00000000,0
N111344_2,N111344,,0.00000000,0
N111345_1,N111345,,0.00000000,0
N111347_1,N111347,,0.00000000,0
N111348_1,N111348,,0.00000000,0
N111349_1,N111349,,0.00000000,0
N111350_1,N111350,,0.00000000,0
N111351_1,N111351,,0.00000000,0
N111352_1,N111352,,0.00000000,0
N111354_1,N111354,,0.00000000,0
N111355_1,N111355,,0.00000000,0
N111356_1,N111356,,0.00000000,0
N111357_1,N111357,,0.00000000,0
N111358_1,N111358,,0.00000000,0
N111360_1,N111360,,0.00000000,0
N111361_1,N111361,,0.00000000,0
N111364_1,N111364,,0.00000000,0
N111365_1,N111365,,0.00000000,0
N111366_1,N111366,,0.00000000,0
N111367_1,N111367,,0.00000000,0
N111368_1,N111368,,0.00000000,0
N111369_1,N111369,,0.00000000,0
N111372_1,N111372,,0.00000000,0
N111373_1,N111373,,0.00000000,0
N111374_1,N111374,,0.00000000,0
N111378_1,N111378,,0.00000000,0
N111382_1,N111382,,0.00000000,0
N111386_1,N111386,,0.00000000,0
N111390_1,N111390,,0.00000000,0
N111391_1,N111391,,0.00000000,0
N111392_1,N111392,,0.00000000,0
N111395_1,N111395,,0.00000000,0
N111396_1,N111396,,0.00000000,0
N111397_1,N111397,,0.00000000,0
N111398_1,N111398,,0.00000000,0
N111399_1,N111399,,0.00000000,0
N111400_1,N111400,,0.00000000,0
N111402_1,N111402,,0.00000000,0
N111402_2,N111402,,0.00000000,0
N111404_1,N111404,,0.00000000,0
N120434_1,N120434,,0.00000000,0
N120434_2,N120434,,0.00000000,0
N120436_1,N120436,,0.00000000,0
N120438_1,N120438,,0.00000000,0
N120439_1,N120439,,0.00000000,0
N120442_1,N120442,,0.00000000,0
N120442_2,N120442,,0.00000000,0
N120443_1,N120443,,0.00000000,0
N120443_2,N120443,,0.00000000,0
N120444_1,N120444,,0.00000000,0
N120445_1,N120445,,0.00000000,0
N120446_1,N120446,,0.00000000,0
N120449_1,N120449,,0.00000000,0
N120449_2,N120449,,0.00000000,0
N120450_1,N120450,,0.00000000,0
N120450_2,N120450,,0.00000000,0
N120451_2,N120451,,0.00000000,0
N120452_1,N120452,,0.00000000,0
N120453_1,N120453,,0.00000000,0
N120454_1,N120454,,0.00000000,0
N120454_2,N120454,,0.00000000,0
N120455_1,N120455,,0.00000000,0
N120455_2,N120455,,0.00000000,0
N120456_1,N120456,,0.00000000,0
N120456_2,N120456,,0.00000000,0
N120457_1,N120457,,0.00000000,0
N120457_2,N120457,,0.00000000,0
N120458_1,N120458,,0.00000000,0
N120458_2,N120458,,0.00000000,0
N120459_1,N120459,,0.00000000,0
N120459_2,N120459,,0.00000000,0
N120460_1,N120460,,0.00000000,0
N120460_2,N120460,,0.00000000,0
N120461_1,N120461,,0.00000000,0
N120463_1,N120463,,0.00000000,0
N120467_1,N120467,,0.00000000,0
N120469_1,N120469,,0.00000000,0
N120470_1,N120470,,0.00000000,0
N120472_1,N120472,,0.00000000,0
N120473_1,N120473,,0.00000000,0
N120474_1,N120474,,0.00000000,0
N120490_1,N120490,,0.00000000,0
N120493_1,N120493,,0.00000000,0
N120498_1,N120498,,0.00000000,0
N120500_1,N120500,,0.00000000,0
N120503_2,N120503,,0.00000000,0
N120507_1,N120507,,0.00000000,0
N120512_1,N120512,,0.00000000,0
N130351_1,N130351,,0.00000000,0
N130352_1,N130352,,0.00000000,0
N130353_1,N130353,,0.00000000,0
N130356_1,N130356,,0.00000000,0
N130359_1,N130359,,0.00000000,0
N130360_1,N130360,,0.00000000,0
N130361_1,N130361,,0.00000000,0
N130362_1,N130362,,0.00000000,0
N130363_1,N130363,,0.00000000,0
N130364_1,N130364,,0.00000000,0
N130365_1,N130365,,0.00000000,0
N130366_1,N130366,,0.00000000,0
N140304_1,N140304,,0.00000000,0
N140305_1,N140305,,0.00000000,0
N140306_1,N140306,,0.00000000,0
N140307_1,N140307,,0.00000000,0
N140308_1,N140308,,0.00000000,0
N140309_1,N140309,,0.00000000,0
N140311_1,N140311,,0.00000000,0
N140311_2,N140311,,0.00000000,0
N140313_1,N140313,,0.00000000,0
N140314_1,N140314,,0.00000000,0
N140320_1,N140320,,0.00000000,0
N140321_1,N140321,,0.00000000,0
N140327_1,N140327,,0.00000000,0
N140328_1,N140328,,0.00000000,0
N140328_2,N140328,,0.00000000,0
N140332_1,N140332,,0.00000000,0
N140333_1,N140333,,0.00000000,0
N140335_1,N140335,,0.00000000,0
N140336_1,N140336,,0.00000000,0
N140337_1,N140337,,0.00000000,0
N140339_1,N140339,,0.00000000,0
N140340_1,N140340,,0.00000000,0
N140341_1,N140341,,0.00000000,0
N140341_2,N140341,,0.00000000,0
N140342_1,N140342,,0.00000000,0
N140342_2,N140342,,0.00000000,0
N140343_1,N140343,,0.00000000,0
N140343_2,N140343,,0.00000000,0
N140350_1,N140350,,0.00000000,0
N140350_2,N140350,,0.00000000,0
N140351_1,N140351,,0.00000000,0
N140351_2,N140351,,0.00000000,0
N140357_1,N140357,,0.00000000,0
N140358_1,N140358,,0.00000000,0
N140359_1,N140359,,0.00000000,0
N140361_1,N140361,,0.00000000,0
N140362_1,N140362,,0.00000000,0
N140363_1,N140363,,0.00000000,0
N140374_1,N140374,,0.00000000,0
N140374_2,N140374,,0.00000000,0
N140375_1,N140375,,0.00000000,0
N140375_2,N140375,,0.00000000,0
N140377_1,N140377,,0.00000000,0
N150428_1,N150428,,0.00000000,0
N150429_1,N150429,,0.00000000,0
N150431_1,N150431,,0.00000000,0
N150433_1,N150433,,0.00000000,0
N150435_1,N150435,,0.00000000,0
N150436_1,N150436,,0.00000000,0
N150437_1,N150437,,0.00000000,0
N150439_1,N150439,,0.00000000,0
N150441_1,N150441,,0.00000000,0
N150442_1,N150442,,0.00000000,0
N150445_1,N150445,,0.00000000,0
N150446_1,N150446,,0.00000000,0
N150447_1,N150447,,0.00000000,0
N150448_1,N150448,,0.00000000,0
N150451_1,N150451,,0.00000000,0
N150452_1,N150452,,0.00000000,0
N150454_1,N150454,,0.00000000,0
N150454_2,N150454,,0.00000000,0
N150462_1,N150462,,0.00000000,0
N150463_1,N150463,,0.00000000,0
N150476_1,N150476,,0.00000000,0
N150477_1,N150477,,0.00000000,0
N150478_1,N150478,,0.00000000,0
N150481_1,N150481,,0.00000000,0
N150482_1,N150482,,0.00000000,0
N150483_1,N150483,,0.00000000,0
N150484_1,N150484,,0.00000000,0
N150485_1,N150485,,0.00000000,0
N150486_1,N150486,,0.00000000,0
N150488_1,N150488,,0.00000000,0
N150489_1,N150489,,0.00000000,0
N150490_1,N150490,,0.00000000,0
N150492_1,N150492,,0.00000000,0
N150496_1,N150496,,0.00000000,0
N150499_1,N150499,,0.00000000,0
N150502_1,N150502,,0.00000000,0
N150505_1,N150505,,0.00000000,0
N150507_1,N150507,,0.00000000,0
N150510_1,N150510,,0.00000000,0
N150512_1,N150512,,0.00000000,0
N150515_1,N150515,,0.00000000,0
N150517_1,N150517,,0.00000000,0
N150520_1,N150520,,0.00000000,0
N150524_1,N150524,,0.00000000,0
N150525_1,N150525,,0.00000000,0
N150528_1,N150528,,0.00000000,0
N150531_1,N150531,,0.00000000,0
N150534_1,N150534,,0.00000000,0
N150541_1,N150541,,0.00000000,0
N150541_2,N150541,,0.00000000,0
N150542_1,N150542,,0.00000000,0
N150543_1,N150543,,0.00000000,0
N150543_2,N150543,,0.00000000,0
N150544_1,N150544,,0.00000000,0
N150544_2,N150544,,0.00000000,0
N150545_1,N150545,,0.00000000,0
N150545_2,N150545,,0.00000000,0
N150546_1,N150546,,0.00000000,0
N150546_2,N150546,,0.00000000,0
N150547_1,N150547,,0.00000000,0
N150549_1,N150549,,0.00000000,0
N150552_1,N150552,,0.00000000,0
N150554_1,N150554,,0.00000000,0
N160189_1,N160189,,0.00000000,0
N160190_1,N160190,,0.00000000,0
N160191_1,N160191,,0.00000000,0
N160194_1,N160194,,0.00000000,0
N160195_1,N160195,,0.00000000,0
N160198_1,N160198,,0.00000000,0
N160199_1,N160199,,0.00000000,0
N160199_2,N160199,,0.00000000,0
N160200_1,N160200,,0.00000000,0
N160206_1,N160206,,0.00000000,0
N160207_1,N160207,,0.00000000,0
N160208_1,N160208,,0.00000000,0
N160210_1,N160210,,0.00000000,0
N160214_1,N160214,,0.00000000,0
N160216_1,N160216,,0.00000000,0
N160217_1,N160217,,0.00000000,0
N160218_1,N160218,,0.00000000,0
N160219_1,N160219,,0.00000000,0
N160220_1,N160220,,0.00000000,0
N160221_1,N160221,,0.00000000,0
N160222_1,N160222,,0.00000000,0
N160223_1,N160223,,0.00000000,0
N160223_2,N160223,,0.00000000,0
N160224_1,N160224,,0.00000000,0
N160226_1,N160226,,0.00000000,0
N160228_1,N160228,,0.00000000,0
N160236_1,N160236,,0.00000000,0
N160236_2,N160236,,0.00000000,0
N160237_1,N160237,,0.00000000,0
N160246_1,N160246,,0.00000000,0
N160249_1,N160249,,0.00000000,0
N160250_1,N160250,,0.00000000,0
N160251_1,N160251,,0.00000000,0
N160253_1,N160253,,0.00000000,0
N160255_1,N160255,,0.00000000,0
N160258_1,N160258,,0.00000000,0
N160259_1,N160259,,0.00000000,0
N160260_1,N160260,,0.00000000,0
N160263_1,N160263,,0.00000000,0
N160266_1,N160266,,0.00000000,0
N160267_1,N160267,,0.00000000,0
N160270_1,N160270,,0.00000000,0
N160273_1,N160273,,0.00000000,0
N160275_1,N160275,,0.00000000,0
N160278_1,N160278,,0.00000000,0
