Injector,Cycle,LastPeriod,UpCycle
N111180_1,DA,0,
N111181_1,DA,0,
N111190_1,DA,0,
N111191_1,DA,0,
N111192_1,DA,0,
N111193_1,DA,0,
N111194_1,DA,0,
N111195_1,DA,0,
N111196_1,DA,0,
N111197_1,DA,0,
N111198_1,DA,0,
N111199_1,DA,0,
N111208_1,DA,0,
N111209_1,DA,0,
N111212_2,DA,0,
N111213_1,DA,0,
N111214_1,DA,0,
N111215_1,DA,0,
N111217_1,DA,0,
N111218_1,DA,0,
N111234_1,DA,0,
N111237_1,DA,0,
N111251_1,DA,0,
N111252_1,DA,0,
N111253_1,DA,0,
N111254_1,DA,0,
N111266_1,DA,0,
N111266_2,DA,0,
N111270_1,DA,0,
N111271_1,DA,0,
N111272_1,DA,0,
N111273_1,DA,0,
N111274_1,DA,0,
N111275_1,DA,0,
N111276_1,DA,0,
N111280_1,DA,0,
N111281_1,DA,0,
N111282_1,DA,0,
N111283_1,DA,0,
N111286_1,DA,0,
N111287_1,DA,0,
N111288_1,DA,0,
N111289_1,DA,0,
N111290_1,DA,0,
N111295_1,DA,0,
N111296_1,DA,0,
N111301_1,DA,0,
N111302_1,DA,0,
N111303_1,DA,0,
N111304_1,DA,0,
N111312_1,DA,0,
N111313_1,DA,0,
N111314_1,DA,0,
N111315_1,DA,0,
N111316_1,DA,0,
N111318_1,DA,0,
N111319_1,DA,0,
N111320_1,DA,0,
N111321_1,DA,0,
N111322_1,DA,0,
N111324_1,DA,0,
N111325_1,DA,0,
N111326_1,DA,0,
N111327_1,DA,0,
N111333_1,DA,0,
N111334_1,DA,0,
N111336_1,DA,0,
N111339_1,DA,0,
N111340_1,DA,0,
N111341_1,DA,0,
N111347_1,DA,0,
N111348_1,DA,0,
N111349_1,DA,0,
N111350_1,DA,0,
N111351_1,DA,0,
N111352_1,DA,0,
N111354_1,DA,0,
N111355_1,DA,0,
N111356_1,DA,0,
N111357_1,DA,0,
N111358_1,DA,0,
N111360_1,DA,0,
N111361_1,DA,0,
N111364_1,DA,0,
N111365_1,DA,0,
N111366_1,DA,0,
N111367_1,DA,0,
N111368_1,DA,0,
N111369_1,DA,0,
N111372_1,DA,0,
N111373_1,DA,0,
N111374_1,DA,0,
N111386_1,DA,0,
N111390_1,DA,0,
N111391_1,DA,0,
N111392_1,DA,0,
N111395_1,DA,0,
N111396_1,DA,0,
N111397_1,DA,0,
N111398_1,DA,0,
N111399_1,DA,0,
N111400_1,DA,0,
N111404_1,DA,0,
N120438_1,DA,0,
N120439_1,DA,0,
N120444_1,DA,0,
N120445_1,DA,0,
N120446_1,DA,0,
N120463_1,DA,0,
N120467_1,DA,0,
N120469_1,DA,0,
N120470_1,DA,0,
N120472_1,DA,0,
N120473_1,DA,0,
N120474_1,DA,0,
N130351_1,DA,0,
N130352_1,DA,0,
N130353_1,DA,0,
N130356_1,DA,0,
N130359_1,DA,0,
N130360_1,DA,0,
N130361_1,DA,0,
N130362_1,DA,0,
N130363_1,DA,0,
N130364_1,DA,0,
N130365_1,DA,0,
N130366_1,DA,0,
N140308_1,DA,0,
N140309_1,DA,0,
N140332_1,DA,0,
N140333_1,DA,0,
N140335_1,DA,0,
N140336_1,DA,0,
N140337_1,DA,0,
N140339_1,DA,0,
N140340_1,DA,0,
N140350_1,DA,0,
N140350_2,DA,0,
N140351_1,DA,0,
N140351_2,DA,0,
N140357_1,DA,0,
N140358_1,DA,0,
N140359_1,DA,0,
N140361_1,DA,0,
N140362_1,DA,0,
N140363_1,DA,0,
N150428_1,DA,0,
N150429_1,DA,0,
N150431_1,DA,0,
N150433_1,DA,0,
N150437_1,DA,0,
N150439_1,DA,0,
N150441_1,DA,0,
N150442_1,DA,0,
N150451_1,DA,0,
N150452_1,DA,0,
N150454_1,DA,0,
N150454_2,DA,0,
N150462_1,DA,0,
N150463_1,DA,0,
N150476_1,DA,0,
N150477_1,DA,0,
N150478_1,DA,0,
N150481_1,DA,0,
N150482_1,DA,0,
N150483_1,DA,0,
N150484_1,DA,0,
N150485_1,DA,0,
N150486_1,DA,0,
N150488_1,DA,0,
N150489_1,DA,0,
N150490_1,DA,0,
N150524_1,DA,0,
N150525_1,DA,0,
N150541_1,DA,0,
N150541_2,DA,0,
N150542_1,DA,0,
N150543_1,DA,0,
N150543_2,DA,0,
N150544_1,DA,0,
N150544_2,DA,0,
N150545_1,DA,0,
N150545_2,DA,0,
N150546_1,DA,0,
N150546_2,DA,0,
N150547_1,DA,0,
N160189_1,DA,0,
N160190_1,DA,0,
N160191_1,DA,0,
N160194_1,DA,0,
N160195_1,DA,0,
N160198_1,DA,0,
N160199_1,DA,0,
N160199_2,DA,0,
N160200_1,DA,0,
N160206_1,DA,0,
N160207_1,DA,0,
N160208_1,DA,0,
N160210_1,DA,0,
N160216_1,DA,0,
N160217_1,DA,0,
N160218_1,DA,0,
N160219_1,DA,0,
N160220_1,DA,0,
N160221_1,DA,0,
N160222_1,DA,0,
N160223_1,DA,0,
N160223_2,DA,0,
N160224_1,DA,0,
N160236_1,DA,0,
N160236_2,DA,0,
N160237_1,DA,0,
N160249_1,DA,0,
N160250_1,DA,0,
N160251_1,DA,0,
N160253_1,DA,0,
N160255_1,DA,0,
N160258_1,DA,0,
N160259_1,DA,0,
N160260_1,DA,0,
N160266_1,DA,0,
N160267_1,DA,0,
N160297_1,DA,0,
N160298_1,DA,0,
N170518_1,DA,0,
N170519_1,DA,0,
N170522_1,DA,0,
N170523_1,DA,0,
N170524_1,DA,0,
N170529_2,DA,0,
N170530_1,DA,0,
N170530_2,DA,0,
N170532_1,DA,0,
N170533_1,DA,0,
N170540_1,DA,0,
N170541_1,DA,0,
N170542_1,DA,0,
N170550_1,DA,0,
N170551_1,DA,0,
N170552_1,DA,0,
N170553_1,DA,0,
N170554_1,DA,0,
N170555_1,DA,0,
N170564_1,DA,0,
N170565_1,DA,0,
N200156_1,DA,0,
N200156_2,DA,0,
N200168_1,DA,0,
N200169_1,DA,0,
N200172_1,DA,0,
N200173_1,DA,0,
N200174_1,DA,0,
N210327_1,DA,0,
N210328_1,DA,0,
N210329_1,DA,0,
N210330_1,DA,0,
N210331_1,DA,0,
N210334_1,DA,0,
N210336_1,DA,0,
N210337_1,DA,0,
N210339_1,DA,0,
N210340_1,DA,0,
N210341_1,DA,0,
N220132_1,DA,0,
N220133_1,DA,0,
N220134_1,DA,0,
N220142_1,DA,0,
N220143_1,DA,0,
N220144_1,DA,0,
N220145_1,DA,0,
N220146_1,DA,0,
N220147_1,DA,0,
N220162_1,DA,0,
N220163_1,DA,0,
N220164_1,DA,0,
N220165_1,DA,0,
N220166_1,DA,0,
N220167_1,DA,0,
N230259_1,DA,0,
N230260_1,DA,0,
N230264_1,DA,0,
N230265_1,DA,0,
N230271_1,DA,0,
N230272_1,DA,0,
N230276_1,DA,0,
N230281_1,DA,0,
N230282_1,DA,0,
N230284_1,DA,0,
N230285_1,DA,0,
N230286_1,DA,0,
N230287_1,DA,0,
N230290_1,DA,0,
N230290_2,DA,0,
N250347_1,DA,0,
N250348_1,DA,0,
N250354_1,DA,0,
N250358_1,DA,0,
N250359_1,DA,0,
N250360_1,DA,0,
N250363_1,DA,0,
N250364_1,DA,0,
N250365_1,DA,0,
N250367_1,DA,0,
N250368_1,DA,0,
N250369_1,DA,0,
N250370_1,DA,0,
N250371_1,DA,0,
N250372_1,DA,0,
N250374_1,DA,0,
N260208_1,DA,0,
N260209_1,DA,0,
N260210_1,DA,0,
N260211_1,DA,0,
N260212_1,DA,0,
N260213_1,DA,0,
N270207_1,DA,0,
N270208_1,DA,0,
N270209_1,DA,0,
N270210_1,DA,0,
N270212_1,DA,0,
N270214_1,DA,0,
N270215_1,DA,0,
N270217_1,DA,0,
N270218_1,DA,0,
N270219_1,DA,0,
N270220_1,DA,0,
N270221_1,DA,0,
N270222_1,DA,0,
