Enode,Name,Busbar,Substation,Area,ReportNode
N110001,EDNA 1 1,,EDNA 1,,1
N110002,EDNA 1 2,,EDNA 1,,1
N110003,EDNA 1 3,,EDNA 1,,1
N110004,EDNA 1 4,,EDNA 1,,1
N110005,LANE CITY 1 1,,LANE CITY 1,,1
N110006,LANE CITY 1 2,,LANE CITY 1,,1
N110007,LANE CITY 1 3,,LANE CITY 1,,1
N110008,LANE CITY 1 4,,LANE CITY 1,,1
N110009,MATAGORDA 1 1,,MATAGORDA 1,,1
N110010,MATAGORDA 1 2,,MATAGORDA 1,,1
N110011,MATAGORDA 1 3,,MATAGORDA 1,,1
N110012,MATAGORDA 1 4,,MATAGORDA 1,,1
N110013,HUNGERFORD 1 1,,HUNGERFORD 1,,1
N110014,HUNGERFORD 1 2,,HUNGERFORD 1,,1
N110015,HUNGERFORD 1 3,,HUNGERFORD 1,,1
N110016,HUNGERFORD 1 4,,HUNGERFORD 1,,1
N110017,EAST BERNARD 1 1,,EAST BERNARD 1,,1
N110018,EAST BERNARD 1 2,,EAST BERNARD 1,,1
N110019,EAST BERNARD 1 3,,EAST BERNARD 1,,1
N110020,EAST BERNARD 1 4,,EAST BERNARD 1,,1
N110021,EL CAMPO 1 1,,EL CAMPO 1,,1
N110022,EL CAMPO 1 2,,EL CAMPO 1,,1
N110023,EL CAMPO 1 3,,EL CAMPO 1,,1
N110024,EL CAMPO 1 4,,EL CAMPO 1,,1
N110025,EL CAMPO 2 1,,EL CAMPO 2,,1
N110026,EL CAMPO 2 2,,EL CAMPO 2,,1
N110027,EL CAMPO 2 3,,EL CAMPO 2,,1
N110028,EL CAMPO 2 4,,EL CAMPO 2,,1
N110029,WHARTON 1 1,,WHARTON 1,,1
N110030,WHARTON 1 2,,WHARTON 1,,1
N110031,WHARTON 1 3,,WHARTON 1,,1
N110032,WHARTON 1 4,,WHARTON 1,,1
N110033,CEDAR LANE 1 1,,CEDAR LANE 1,,1
N110034,CEDAR LANE 1 2,,CEDAR LANE 1,,1
N110035,CEDAR LANE 1 3,,CEDAR LANE 1,,1
N110036,CEDAR LANE 1 4,,CEDAR LANE 1,,1
N110037,NADA 1 1,,NADA 1,,1
N110038,NADA 1 2,,NADA 1,,1
N110039,NADA 1 3,,NADA 1,,1
N110040,NADA 1 4,,NADA 1,,1
N110041,EGYPT 1 1,,EGYPT 1,,1
N110042,EGYPT 1 2,,EGYPT 1,,1
N110043,EGYPT 1 3,,EGYPT 1,,1
N110044,EGYPT 1 4,,EGYPT 1,,1
N110045,LOUISE 1 1,,LOUISE 1,,1
N110046,LOUISE 1 2,,LOUISE 1,,1
N110047,LOUISE 1 3,,LOUISE 1,,1
N110048,LOUISE 1 4,,LOUISE 1,,1
N110049,GANADO 1 1,,GANADO 1,,1
N110050,GANADO 1 2,,GANADO 1,,1
N110051,GANADO 1 3,,GANADO 1,,1
N110052,GANADO 1 4,,GANADO 1,,1
N110053,LOUISE 2 1,,LOUISE 2,,1
N110054,LOUISE 2 2,,LOUISE 2,,1
N110055,LOUISE 2 3,,LOUISE 2,,1
N110056,LOUISE 2 4,,LOUISE 2,,1
N110057,LOUISE 3 1,,LOUISE 3,,1
N110058,LOUISE 3 2,,LOUISE 3,,1
N110059,LOUISE 3 3,,LOUISE 3,,1
N110060,LOUISE 3 4,,LOUISE 3,,1
N110061,NADA 2 1,,NADA 2,,1
N110062,NADA 2 2,,NADA 2,,1
N110063,NADA 2 3,,NADA 2,,1
N110064,NADA 2 4,,NADA 2,,1
N110065,KENDLETON 1 1,,KENDLETON 1,,1
N110066,KENDLETON 1 2,,KENDLETON 1,,1
N110067,KENDLETON 1 3,,KENDLETON 1,,1
N110068,KENDLETON 1 4,,KENDLETON 1,,1
N110069,PLEDGER 1 1,,PLEDGER 1,,1
N110070,PLEDGER 1 2,,PLEDGER 1,,1
N110071,PLEDGER 1 3,,PLEDGER 1,,1
N110072,PLEDGER 1 4,,PLEDGER 1,,1
N110073,DANEVANG 1 1,,DANEVANG 1,,1
N110074,DANEVANG 1 2,,DANEVANG 1,,1
N110075,DANEVANG 1 3,,DANEVANG 1,,1
N110076,DANEVANG 1 4,,DANEVANG 1,,1
N110077,DANEVANG 2 1,,DANEVANG 2,,1
N110078,DANEVANG 2 2,,DANEVANG 2,,1
N110079,DANEVANG 2 3,,DANEVANG 2,,1
N110080,DANEVANG 2 4,,DANEVANG 2,,1
N110081,ELMATON 1 1,,ELMATON 1,,1
N110082,ELMATON 1 2,,ELMATON 1,,1
N110083,ELMATON 1 3,,ELMATON 1,,1
N110084,ELMATON 1 4,,ELMATON 1,,1
N110085,BAY CITY 1 1,,BAY CITY 1,,1
N110086,BAY CITY 1 2,,BAY CITY 1,,1
