ReserveType,Injector,MaxReserve,ReduceRamp,Cost
OpRsv,N111180_1,746.000,0,
OpRsv,N111181_1,749.000,0,
OpRsv,N111190_1,104.000,0,
OpRsv,N111191_1,104.000,0,
OpRsv,N111192_1,57.000,0,
OpRsv,N111193_1,57.000,0,
OpRsv,N111194_1,57.000,0,
OpRsv,N111195_1,57.000,0,
OpRsv,N111196_1,57.000,0,
OpRsv,N111197_1,57.000,0,
OpRsv,N111198_1,57.000,0,
OpRsv,N111199_1,57.000,0,
OpRsv,N111208_1,664.000,0,
OpRsv,N111209_1,663.000,0,
OpRsv,N111212_2,552.000,0,
OpRsv,N111213_1,273.000,0,
OpRsv,N111214_1,169.000,0,
OpRsv,N111215_1,169.000,0,
OpRsv,N111234_1,75.000,0,
OpRsv,N111237_1,42.500,0,
OpRsv,N111251_1,66.000,0,
OpRsv,N111252_1,66.000,0,
OpRsv,N111253_1,62.000,0,
OpRsv,N111254_1,69.000,0,
OpRsv,N111266_1,45.000,0,
OpRsv,N111266_2,45.000,0,
OpRsv,N111270_1,120.100,0,
OpRsv,N111271_1,69.000,0,
OpRsv,N111272_1,69.800,0,
OpRsv,N111273_1,69.800,0,
OpRsv,N111274_1,70.100,0,
OpRsv,N111275_1,70.000,0,
OpRsv,N111276_1,68.400,0,
OpRsv,N111280_1,139.000,0,
OpRsv,N111281_1,104.000,0,
OpRsv,N111282_1,104.000,0,
OpRsv,N111283_1,104.000,0,
OpRsv,N111286_1,95.600,0,
OpRsv,N111287_1,95.600,0,
OpRsv,N111288_1,95.200,0,
OpRsv,N111289_1,68.300,0,
OpRsv,N111290_1,68.300,0,
OpRsv,N111295_1,69.000,0,
OpRsv,N111296_1,69.000,0,
OpRsv,N111301_1,160.000,0,
OpRsv,N111302_1,73.000,0,
OpRsv,N111303_1,73.000,0,
OpRsv,N111304_1,73.000,0,
OpRsv,N111312_1,165.000,0,
OpRsv,N111313_1,165.000,0,
OpRsv,N111314_1,165.000,0,
OpRsv,N111315_1,165.000,0,
OpRsv,N111316_1,60.000,0,
OpRsv,N111318_1,162.000,0,
OpRsv,N111319_1,162.000,0,
OpRsv,N111320_1,163.000,0,
OpRsv,N111321_1,161.000,0,
OpRsv,N111322_1,136.000,0,
OpRsv,N111324_1,215.000,0,
OpRsv,N111325_1,185.000,0,
OpRsv,N111326_1,185.000,0,
OpRsv,N111327_1,183.000,0,
OpRsv,N111333_1,275.000,0,
OpRsv,N111334_1,175.000,0,
OpRsv,N111336_1,175.000,0,
OpRsv,N111339_1,193.000,0,
OpRsv,N111340_1,166.000,0,
OpRsv,N111341_1,166.000,0,
OpRsv,N111347_1,282.000,0,
OpRsv,N111348_1,169.800,0,
OpRsv,N111349_1,169.800,0,
OpRsv,N111350_1,169.800,0,
OpRsv,N111351_1,169.800,0,
OpRsv,N111352_1,154.800,0,
OpRsv,N111354_1,75.000,0,
OpRsv,N111355_1,158.000,0,
OpRsv,N111356_1,158.000,0,
OpRsv,N111357_1,158.000,0,
OpRsv,N111358_1,75.000,0,
OpRsv,N111360_1,169.400,0,
OpRsv,N111361_1,50.000,0,
OpRsv,N111364_1,98.000,0,
OpRsv,N111365_1,98.000,0,
OpRsv,N111366_1,72.000,0,
OpRsv,N111367_1,72.000,0,
OpRsv,N111368_1,72.000,0,
OpRsv,N111369_1,72.000,0,
OpRsv,N111372_1,172.000,0,
OpRsv,N111373_1,165.000,0,
OpRsv,N111374_1,165.000,0,
OpRsv,N111386_1,70.000,0,
OpRsv,N111390_1,472.500,0,
OpRsv,N111391_1,331.900,0,
OpRsv,N111392_1,335.300,0,
OpRsv,N111395_1,54.000,0,
OpRsv,N111396_1,54.000,0,
OpRsv,N111397_1,54.000,0,
OpRsv,N111398_1,54.000,0,
OpRsv,N111399_1,54.000,0,
OpRsv,N111400_1,54.000,0,
OpRsv,N111404_1,117.000,0,
OpRsv,N120438_1,420.000,0,
OpRsv,N120439_1,410.000,0,
OpRsv,N120444_1,412.000,0,
OpRsv,N120445_1,230.000,0,
OpRsv,N120446_1,217.000,0,
