Scenario,Injector,MaxMw,Enforce,ScaleFactor,Schedule,Sequence
0,N220149_1,,,,N220149_1_fcst,
0,N220151_1,,,,N220151_1_fcst,
0,N220153_1,,,,N220153_1_fcst,
0,N220156_1,,,,N220156_1_fcst,
0,N240210_1,,,,N240210_1_fcst,
0,N220159_1,,,,N220159_1_fcst,
0,N190106_1,,,,N190106_1_fcst,
0,N240214_1,,,,N240214_1_fcst,
0,N240217_1,,,,N240217_1_fcst,
0,N240219_1,,,,N240219_1_fcst,
0,N240223_1,,,,N240223_1_fcst,
0,N240222_1,,,,N240222_1_fcst,
0,N240221_1,,,,N240221_1_fcst,
0,N240225_1,,,,N240225_1_fcst,
0,N240228_1,,,,N240228_1_fcst,
0,N240230_1,,,,N240230_1_fcst,
0,N220169_1,,,,N220169_1_fcst,
0,N240233_1,,,,N240233_1_fcst,
0,N220171_1,,,,N220171_1_fcst,
0,N240236_1,,,,N240236_1_fcst,
0,N240239_1,,,,N240239_1_fcst,
0,N190114_1,,,,N190114_1_fcst,
0,N240241_1,,,,N240241_1_fcst,
0,N240244_1,,,,N240244_1_fcst,
0,N240248_1,,,,N240248_1_fcst,
0,N220174_1,,,,N220174_1_fcst,
0,N240250_1,,,,N240250_1_fcst,
0,N160263_1,,,,N160263_1_fcst,
0,N240255_1,,,,N240255_1_fcst,
0,N240256_1,,,,N240256_1_fcst,
0,N240260_1,,,,N240260_1_fcst,
0,N240258_1,,,,N240258_1_fcst,
0,N240259_1,,,,N240259_1_fcst,
0,N240261_1,,,,N240261_1_fcst,
0,N150492_1,,,,N150492_1_fcst,
0,N190118_1,,,,N190118_1_fcst,
0,N240266_1,,,,N240266_1_fcst,
0,N240269_1,,,,N240269_1_fcst,
0,N220176_1,,,,N220176_1_fcst,
0,N220178_1,,,,N220178_1_fcst,
0,N220181_1,,,,N220181_1_fcst,
0,N160270_1,,,,N160270_1_fcst,
0,N240272_1,,,,N240272_1_fcst,
0,N220183_1,,,,N220183_1_fcst,
0,N220186_1,,,,N220186_1_fcst,
0,N190120_1,,,,N190120_1_fcst,
0,N220191_2,,,,N220191_2_fcst,
0,N240275_1,,,,N240275_1_fcst,
0,N240278_2,,,,N240278_2_fcst,
0,N160273_1,,,,N160273_1_fcst,
0,N240280_2,,,,N240280_2_fcst,
0,N160275_1,,,,N160275_1_fcst,
0,N240282_1,,,,N240282_1_fcst,
0,N150496_1,,,,N150496_1_fcst,
0,N120490_1,,,,N120490_1_fcst,
0,N160278_1,,,,N160278_1_fcst,
0,N180119_1,,,,N180119_1_fcst,
0,N240284_1,,,,N240284_1_fcst,
0,N240285_1,,,,N240285_1_fcst,
0,N220195_1,,,,N220195_1_fcst,
0,N150499_1,,,,N150499_1_fcst,
0,N200179_1,,,,N200179_1_fcst,
0,N140377_1,,,,N140377_1_fcst,
0,N200181_1,,,,N200181_1_fcst,
0,N200184_1,,,,N200184_1_fcst,
0,N200186_1,,,,N200186_1_fcst,
0,N160281_1,,,,N160281_1_fcst,
0,N150502_1,,,,N150502_1_fcst,
0,N150505_1,,,,N150505_1_fcst,
0,N190123_1,,,,N190123_1_fcst,
0,N190124_1,,,,N190124_1_fcst,
0,N120493_1,,,,N120493_1_fcst,
0,N180121_1,,,,N180121_1_fcst,
0,N120498_1,,,,N120498_1_fcst,
0,N120500_1,,,,N120500_1_fcst,
0,N150507_1,,,,N150507_1_fcst,
0,N190129_1,,,,N190129_1_fcst,
0,N210346_1,,,,N210346_1_fcst,
0,N150510_1,,,,N150510_1_fcst,
0,N120503_2,,,,N120503_2_fcst,
0,N190132_1,,,,N190132_1_fcst,
0,N160286_1,,,,N160286_1_fcst,
0,N190134_1,,,,N190134_1_fcst,
0,N120507_1,,,,N120507_1_fcst,
0,N190136_1,,,,N190136_1_fcst,
0,N190139_1,,,,N190139_1_fcst,
0,N190142_1,,,,N190142_1_fcst,
0,N190145_1,,,,N190145_1_fcst,
0,N190147_1,,,,N190147_1_fcst,
0,N190149_1,,,,N190149_1_fcst,
0,N190152_1,,,,N190152_1_fcst,
0,N150512_1,,,,N150512_1_fcst,
0,N190155_1,,,,N190155_1_fcst,
0,N150515_1,,,,N150515_1_fcst,
0,N160288_1,,,,N160288_1_fcst,
0,N200189_1,,,,N200189_1_fcst,
0,N190157_1,,,,N190157_1_fcst,
0,N200192_1,,,,N200192_1_fcst,
0,N160291_1,,,,N160291_1_fcst,
0,N120512_1,,,,N120512_1_fcst,
0,N220206_1,,,,N220206_1_fcst,
0,N240288_1,,,,N240288_1_fcst,
0,N150517_1,,,,N150517_1_fcst,
0,N190159_1,,,,N190159_1_fcst,
0,N180123_1,,,,N180123_1_fcst,
0,N180126_1,,,,N180126_1_fcst,
0,N220209_1,,,,N220209_1_fcst,
0,N190162_1,,,,N190162_1_fcst,
0,N210349_1,,,,N210349_1_fcst,
0,N190165_1,,,,N190165_1_fcst,
0,N180128_1,,,,N180128_1_fcst,
0,N200204_1,,,,N200204_1_fcst,
0,N150520_1,,,,N150520_1_fcst,
0,N190167_1,,,,N190167_1_fcst,
0,N190169_1,,,,N190169_1_fcst,
0,N220214_1,,,,N220214_1_fcst,
0,N220216_1,,,,N220216_1_fcst,
0,N220219_1,,,,N220219_1_fcst,
0,N220222_1,,,,N220222_1_fcst,
0,N200207_1,,,,N200207_1_fcst,
0,N190172_1,,,,N190172_1_fcst,
0,N180131_1,,,,N180131_1_fcst,
0,N220225_2,,,,N220225_2_fcst,
0,N240291_1,,,,N240291_1_fcst,
0,N190177_1,,,,N190177_1_fcst,
0,N150528_1,,,,N150528_1_fcst,
0,N240293_1,,,,N240293_1_fcst,
0,N190182_1,,,,N190182_1_fcst,
