State,Enode,GenMw,LoadMw,GenNode,LoadNode
0,N110001,0.000,0.218,0,0
0,N110002,0.000,0.000,0,0
0,N110003,0.000,0.000,0,0
0,N110004,0.000,0.000,0,0
0,N110005,0.000,79.700,0,0
0,N110006,0.000,0.000,0,0
0,N110007,0.000,0.000,0,0
0,N110008,0.000,0.000,0,0
0,N110009,0.000,5.900,0,0
0,N110010,0.000,0.000,0,0
0,N110011,0.000,0.000,0,0
0,N110012,0.000,0.000,0,0
0,N110013,0.000,15.300,0,0
0,N110014,0.000,0.000,0,0
0,N110015,0.000,0.000,0,0
0,N110016,0.000,0.000,0,0
0,N110017,0.000,11.000,0,0
0,N110018,0.000,0.000,0,0
0,N110019,0.000,0.000,0,0
0,N110020,0.000,0.000,0,0
0,N110021,0.000,8.300,0,0
0,N110022,0.000,0.000,0,0
0,N110023,0.000,0.000,0,0
0,N110024,0.000,0.000,0,0
0,N110025,0.000,7.300,0,0
0,N110026,0.000,0.000,0,0
0,N110027,0.000,0.000,0,0
0,N110028,0.000,0.000,0,0
0,N110029,0.000,7.700,0,0
0,N110030,0.000,0.000,0,0
0,N110031,0.000,0.000,0,0
0,N110032,0.000,0.000,0,0
0,N110033,0.000,7.500,0,0
0,N110034,0.000,0.000,0,0
0,N110035,0.000,0.000,0,0
0,N110036,0.000,0.000,0,0
0,N110037,0.000,4.250,0,0
0,N110038,0.000,0.000,0,0
0,N110039,0.000,0.000,0,0
0,N110040,0.000,0.000,0,0
0,N110041,0.000,2.560,0,0
0,N110042,0.000,0.000,0,0
0,N110043,0.000,0.000,0,0
0,N110044,0.000,0.000,0,0
0,N110045,0.000,1.730,0,0
0,N110046,0.000,0.000,0,0
0,N110047,0.000,0.000,0,0
0,N110048,0.000,0.000,0,0
0,N110049,0.000,3.090,0,0
0,N110050,0.000,0.000,0,0
0,N110051,0.000,0.000,0,0
0,N110052,0.000,0.000,0,0
0,N110053,0.000,4.250,0,0
0,N110054,0.000,0.000,0,0
0,N110055,0.000,0.000,0,0
0,N110056,0.000,0.000,0,0
0,N110057,0.000,0.610,0,0
0,N110058,0.000,0.000,0,0
0,N110059,0.000,0.000,0,0
0,N110060,0.000,0.000,0,0
0,N110061,0.000,1.580,0,0
0,N110062,0.000,0.000,0,0
0,N110063,0.000,0.000,0,0
0,N110064,0.000,0.000,0,0
0,N110065,0.000,3.240,0,0
0,N110066,0.000,0.000,0,0
0,N110067,0.000,0.000,0,0
0,N110068,0.000,0.000,0,0
0,N110069,0.000,10.400,0,0
0,N110070,0.000,0.000,0,0
0,N110071,0.000,0.000,0,0
0,N110072,0.000,0.000,0,0
0,N110073,0.000,5.700,0,0
0,N110074,0.000,0.000,0,0
0,N110075,0.000,0.000,0,0
0,N110076,0.000,0.000,0,0
0,N110077,0.000,2.410,0,0
0,N110078,0.000,0.000,0,0
0,N110079,0.000,0.000,0,0
0,N110080,0.000,0.000,0,0
0,N110081,0.000,4.700,0,0
0,N110082,0.000,0.000,0,0
0,N110083,0.000,0.000,0,0
0,N110084,0.000,0.000,0,0
0,N110085,0.000,4.070,0,0
0,N110086,0.000,0.000,0,0
0,N110087,0.000,0.000,0,0
0,N110088,0.000,0.000,0,0
0,N110089,0.000,3.890,0,0
0,N110090,0.000,0.000,0,0
0,N110091,0.000,0.000,0,0
0,N110092,0.000,0.000,0,0
0,N110093,0.000,0.580,0,0
0,N110094,0.000,0.000,0,0
0,N110095,0.000,0.000,0,0
0,N110096,0.000,115.000,0,0
0,N110097,0.000,1.950,0,0
0,N110098,0.000,0.000,0,0
0,N110099,0.000,0.000,0,0
0,N110100,0.000,0.000,0,0
0,N110101,0.000,0.990,0,0
0,N110102,0.000,0.000,0,0
0,N110103,0.000,0.000,0,0
0,N110104,0.000,0.000,0,0
0,N110105,0.000,4.800,0,0
0,N110106,0.000,0.000,0,0
0,N110107,0.000,0.000,0,0
0,N110108,0.000,0.000,0,0
0,N110109,0.000,0.090,0,0
0,N110110,0.000,0.000,0,0
0,N110111,0.000,0.000,0,0
0,N110112,0.000,0.000,0,0
0,N110113,0.000,0.660,0,0
0,N110114,0.000,0.000,0,0
0,N110115,0.000,0.000,0,0
0,N110116,0.000,0.000,0,0
0,N110117,0.000,4.700,0,0
0,N110118,0.000,0.630,0,0
0,N110119,0.000,1.950,0,0
0,N110120,0.000,2.180,0,0
0,N110121,0.000,0.490,0,0
0,N110122,0.000,0.920,0,0
0,N110123,0.000,111.140,0,0
0,N110124,0.000,0.460,0,0
0,N110125,0.000,26.800,0,0
0,N110126,0.000,0.000,0,0
0,N110127,0.000,222.500,0,0
0,N110128,0.000,41.400,0,0
0,N110129,0.000,37.700,0,0
0,N110130,0.000,10.300,0,0
0,N110131,0.000,15.500,0,0
0,N110132,0.000,100.500,0,0
0,N110133,0.000,6.300,0,0
0,N110134,0.000,4.600,0,0
0,N110135,0.000,21.800,0,0
0,N110136,0.000,9.500,0,0
0,N110137,0.000,14.200,0,0
0,N110138,0.000,14.900,0,0
0,N110139,0.000,0.480,0,0
0,N110140,0.000,9.400,0,0
0,N110141,0.000,18.100,0,0
